國音第一式	漢語拼音	通用拼音	國音第二式	WG

ㄅㄚ	BA	BA	BA	PA
ㄅㄛ	BO	BO	BO	PO
ㄅㄞ	BAI	BAI	BAI	PAI
ㄅㄟ	BEI	BEI	BEI	PEI
ㄅㄠ	BAO	BAO	BAU	PAO
ㄅㄢ	BAN	BAN	BAN	PAN
ㄅㄣ	BEN	BEN	BEN	PEN
ㄅㄤ	BANG	BANG	BANG	PANG
ㄅㄥ	BENG	BENG	BENG	PENG
ㄅㄧ	BI	BI	BI	PI
ㄅㄧㄝ	BIE	BIE	BIE	PIEH
ㄅㄧㄠ	BIAO	BIAO	BIAU	PIAO
ㄅㄧㄢ	BIAN	BIAN	BIAN	PIEN
ㄅㄧㄣ	BIN	BIN	BIN	PIN
ㄅㄧㄥ	BING	BING	BING	PING
ㄅㄨ	BU	BU	BU	PU

ㄆㄚ	PA	PA	PA	PA
ㄆㄛ	PO	PO	PO	PO
ㄆㄞ	PAI	PAI	PAI	PAI
ㄆㄟ	PEI	PEI	PEI	PEI
ㄆㄠ	PAO	PAO	PAU	PAO
ㄆㄡ	POU	POU	POU	POU
ㄆㄢ	PAN	PAN	PAN	PAN
ㄆㄣ	PEN	PEN	PEN	PEN
ㄆㄤ	PANG	PANG	PANG	PANG
ㄆㄥ	PENG	PENG	PENG	PENG
ㄆㄧ	PI	PI	PI	PI
ㄆㄧㄝ	PIE	PIE	PIE	PIEH
ㄆㄧㄠ	PIAO	PIAO	PIAU	PIAO
ㄆㄧㄢ	PIAN	PIAN	PIAN	PIEN
ㄆㄧㄣ	PIN	PIN	PIN	PIN
ㄆㄧㄥ	PING	PING	PING	PING
ㄆㄨ	PU	PU	PU	PU

ㄇㄚ	MA	MA	MA	MA
ㄇㄛ	MO	MO	MO	MO
ㄇㄞ	MAI	MAI	MAI	MAI
ㄇㄟ	MEI	MEI	MEI	MEI
ㄇㄠ	MAO	MAO	MAU	MAO
ㄇㄡ	MOU	MOU	MOU	MOU
ㄇㄢ	MAN	MAN	MAN	MAN
ㄇㄣ	MEN	MEN	MEN	MEN
ㄇㄤ	MANG	MANG	MANG	MANG
ㄇㄥ	MENG	MENG	MENG	MENG
ㄇㄧ	MI	MI	MI	MI
ㄇㄧㄝ	MIE	MIE	MIE	MIEH
ㄇㄧㄠ	MIAO	MIAO	MIAU	MIAO
ㄇㄧㄡ	MIU	MIOU	MIOU	MIU
ㄇㄧㄢ	MIAN	MIAN	MIAN	MIEN
ㄇㄧㄣ	MIN	MIN	MIN	MIN
ㄇㄧㄥ	MING	MING	MING	MING
ㄇㄨ	MU	MU	MU	MU
ㄇㄜ	ME	ME	-	-

ㄈㄚ	FA	FA	FA	FA
ㄈㄛ	FO	FO	FO	FO
ㄈㄟ	FEI	FEI	FEI	FEI
ㄈㄡ	FOU	FOU	FOU	FOU
ㄈㄢ	FAN	FAN	FAN	FAN
ㄈㄣ	FEN	FEN	FEN	FEN
ㄈㄤ	FANG	FANG	FANG	FANG
ㄈㄥ	FENG	FONG	FENG	FENG
ㄈㄨ	FU	FU	FU	FU

ㄉㄚ	DA	DA	DA	TA
ㄉㄜ	DE	DE	DE	TE
ㄉㄞ	DAI	DAI	DAI	TAI
ㄉㄟ	DEI	DEI	DEI	TEI
ㄉㄠ	DAO	DAO	DAU	TAO
ㄉㄡ	DOU	DOU	DOU	TOU
ㄉㄢ	DAN	DAN	DAN	TAN
ㄉㄤ	DANG	DANG	DANG	TANG
ㄉㄥ	DENG	DENG	DENG	TENG
ㄉㄧ	DI	DI	DI	TI
ㄉㄧㄝ	DIE	DIE	DIE	TIEH
ㄉㄧㄠ	DIAO	DIAO	DIAU	TIAO
ㄉㄧㄡ	DIU	DIOU	DIOU	TIU
ㄉㄧㄢ	DIAN	DIAN	DIAN	TIEN
ㄉㄧㄤ	DIANG	DIANG	-	-
ㄉㄧㄥ	DING	DING	DING	TING
ㄉㄨ	DU	DU	DU	TU
ㄉㄨㄛ	DUO	DUO	DUO	TO
ㄉㄨㄟ	DUI	DUEI	DUEI	TUI
ㄉㄨㄢ	DUAN	DUAN	DUAN	TUAN
ㄉㄨㄣ	DUN	DUN	DUEN	TUN
ㄉㄨㄥ	DONG	DONG	DUNG	TUNG

ㄊㄚ	TA	TA	TA	TA
ㄊㄜ	TE	TE	TE	TE
ㄊㄞ	TAI	TAI	TAI	TAI
ㄊㄠ	TAO	TAO	TAU	TAO
ㄊㄡ	TOU	TOU	TOU	TOU
ㄊㄢ	TAN	TAN	TAN	TAN
ㄊㄤ	TANG	TANG	TANG	TANG
ㄊㄥ	TENG	TENG	TENG	TENG
ㄊㄧ	TI	TI	TI	TI
ㄊㄧㄝ	TIE	TIE	TIE	TIEH
ㄊㄧㄠ	TIAO	TIAO	TIAU	TIAO
ㄊㄧㄢ	TIAN	TIAN	TIAN	TIEN
ㄊㄧㄥ	TING	TING	TING	TING
ㄊㄨ	TU	TU	TU	TU
ㄊㄨㄛ	TUO	TUO	TUO	TO
ㄊㄨㄟ	TUI	TUEI	TUEI	TUI
ㄊㄨㄢ	TUAN	TUAN	TUAN	TUAN
ㄊㄨㄣ	TUN	TUN	TUEN	TUN
ㄊㄨㄥ	TONG	TONG	TUNG	TUNG

ㄋㄚ	NA	NA	NA	NA
ㄋㄜ	NE	NE	-	-
ㄋㄞ	NAI	NAI	NAI	NAI
ㄋㄟ	NEI	NEI	NEI	NEI
ㄋㄠ	NAO	NAO	NAU	NAO
ㄋㄡ	NOU	-	NOU	NOU
ㄋㄢ	NAN	NAN	NAN	NAN
ㄋㄣ	NEN	NEN	NEN	NEN
ㄋㄤ	NANG	NANG	NANG	NANG
ㄋㄥ	NENG	NENG	NENG	NENG
ㄋㄧ	NI	NI	NI	NI
ㄋㄧㄝ	NIE	NIE	NIE	NIEH
ㄋㄧㄠ	NIAO	NIAO	NIAU	NIAO
ㄋㄧㄡ	NIU	NIOU	NIOU	NIU
ㄋㄧㄢ	NIAN	NIAN	NIAN	NIEN
