103年8月各警察局近半年來易發生婦幼被害犯罪地點調查表,,,
編號,地點位置,管轄警察局,分局
1,澎湖縣馬公市中正路商圈周邊,澎湖縣政府警察局,馬公分局
2,澎湖縣馬公市惠民醫院周邊,澎湖縣政府警察局,馬公分局
3,澎湖縣馬公市第三漁港漁會周邊,澎湖縣政府警察局,馬公分局
4,澎湖縣馬公市生活博物館周邊,澎湖縣政府警察局,馬公分局
5,新竹縣竹北市文興路、自強南路附近,新竹縣政府警察局,竹北分局
6,新竹縣湖口鄉松江一街附近,新竹縣政府警察局,竹北分局
7,新竹縣竹北市中華路405巷附近,新竹縣政府警察局,竹北分局
8,新竹縣竹北市白帝街410巷附近,新竹縣政府警察局,竹北分局
9,新竹縣竹北市文興路、莊敬南路附近,新竹縣政府警察局,竹北分局
10,新竹縣竹北市文興路、嘉豐五路二段附近,新竹縣政府警察局,竹北分局
11,新竹縣竹北市文興路一段附近,新竹縣政府警察局,竹北分局
12,新竹縣竹北市縣政11街附近,新竹縣政府警察局,竹北分局
13,新竹縣竹北市福興東路附近,新竹縣政府警察局,竹北分局
14,新竹縣寶山鄉雙溪村明湖五街附近,新竹縣政府警察局,竹東分局
15,新竹縣寶山鄉明湖一街25巷附近,新竹縣政府警察局,竹東分局
16,宜蘭縣宜蘭市林森路後火車站,宜蘭縣政府警察局,宜蘭分局
17,宜蘭縣宜蘭市東港路2巷五大社區,宜蘭縣政府警察局,宜蘭分局
18,宜蘭縣宜蘭市中山路宜蘭橋下,宜蘭縣政府警察局,宜蘭分局
19,宜蘭縣宜蘭市舊城南路中山公園,宜蘭縣政府警察局,宜蘭分局
20,宜蘭縣鼻頭仔公園,宜蘭縣政府警察局,宜蘭分局
21,宜蘭縣員山鄉與大同鄉交界處,宜蘭縣政府警察局,宜蘭分局
22,宜蘭縣宜蘭市運動公園,宜蘭縣政府警察局,宜蘭分局
23,宜蘭縣羅東鎮竹義路2號竹義廟,宜蘭縣政府警察局,羅東分局
24,宜蘭縣羅東夜市,宜蘭縣政府警察局,羅東分局
25,宜蘭縣羅東火車站,宜蘭縣政府警察局,羅東分局
26,宜蘭縣羅東運動公園,宜蘭縣政府警察局,羅東分局
27,宜蘭縣安平大眾廟,宜蘭縣政府警察局,羅東分局
28,宜蘭縣羅東鎮義成路變電所,宜蘭縣政府警察局,羅東分局
29,宜蘭縣大進高壓變電所,宜蘭縣政府警察局,羅東分局
30,宜蘭縣頭城鎮協天宮,宜蘭縣政府警察局,礁溪分局
31,宜蘭縣頂埔火車站,宜蘭縣政府警察局,礁溪分局
32,宜蘭縣大福海邊,宜蘭縣政府警察局,礁溪分局
33,宜蘭縣永護廟,宜蘭縣政府警察局,礁溪分局
34,宜蘭縣圓山公園溫泉泳池周邊,宜蘭縣政府警察局,礁溪分局
35,宜蘭縣國工局周邊,宜蘭縣政府警察局,礁溪分局
36,宜蘭縣蘇澳火車站,宜蘭縣政府警察局,蘇澳分局
37,宜蘭縣蘇澳新火車站,宜蘭縣政府警察局,蘇澳分局
38,宜蘭縣豆腐岬,宜蘭縣政府警察局,蘇澳分局
39,宜蘭縣北濱公園,宜蘭縣政府警察局,蘇澳分局
40,宜蘭縣南澳火車站,宜蘭縣政府警察局,蘇澳分局
41,宜蘭縣清水地熱風景區,宜蘭縣政府警察局,三星分局
42,宜蘭縣分洪堰風景區,宜蘭縣政府警察局,三星分局
43,宜蘭縣崙埤河濱公園,宜蘭縣政府警察局,三星分局
44,宜蘭縣柑仔坑廟土地公,宜蘭縣政府警察局,三星分局
45,宜蘭縣三星鄉農義路二段,宜蘭縣政府警察局,三星分局
46,臺東縣卑南鄉文化公園公共廁所周邊,臺東縣警察局,臺東分局
