District,Location
大同區,環河北路二段(北起敦煌路、南迄酒泉街)
萬華區,康定路、桂林路口
萬華區,艋舺公園
萬華區,西寧南路路段
萬華區,峨眉街路段
萬華區,昆明街路段
萬華區,406廣場(中華路2段及長沙街2段交叉口)
萬華區,西藏路200多號路段
萬華區,寶興街80巷附近 
萬華區,水源路199號內藍球場路段
萬華區,萬大路424巷97號旁三角公園路段
萬華區,萬大路段
萬華區,老松公園
萬華區,和平青草原(原402公園)(艋舺大道、西園路口) 
萬華區,南寧路48巷口
萬華區,綠堤公園
中山區,康樂公園
中山區,民權東路1段70巷
中山區,農安街、新生北路口
中山區,松江路(捷運松江、南京站周邊)
中山區,朱崙街(遼寧街至龍江路沿線)
中山區,榮星公園
中山區,樂群二路266巷99號周邊
中山區,中原街80多號附近
大安區,建國南路1段63-1號附近(計程車休息站) 
大安區,臨江街夜市
中正區,中華路1段一帶
中正區,濟南路2段一帶
中正區,公園路一帶
中正區,忠孝西路1段一帶(臺北火車站地下商店街)
中正區,北平西路1段(捷運臺北站及公車臺北火車站周邊站牌)
中正區,中山南路人行天橋、地下道
中正區,中山南路1段一帶
中正區,林森南路、仁愛路人行地下道
中正區,寶慶路(中華路至桃源街)路段
中正區,客家文化園區
中正區,臺北捷運公館站1號出口
中正區,辛亥路1段12巷附近
中正區,南昌路街1段24巷內
中正區,和平西路、南昌路(南昌公園)
中正區,羅斯福路2段66巷內
中正區,南海路105號國盛國宅一帶
中正區,寧波西街181巷內永寬公園
中正區,廈門街至和平西路一帶
中正區,寧波西街(泉州街至重慶南路段)
中正區,延平南路一帶商家(和平西路至愛國西路段)
松山區,八德路4段106巷附近
松山區,健康路325巷25弄附近
松山區,松河街4號水門內
松山區,松河街80幾號附近
松山區,復興北路10幾號附近
松山區,八德路2段346巷5弄附近
松山區,敦化北路與八德路口地下道
松山區,民生東路5段、撫遠街口
松山區,南京東路5段147巷內(西松國小後門)
松山區,復興北路231巷
信義區,松隆路、永吉路30巷口
信義區,福德街251巷7弄周邊
信義區,永吉公園
信義區,中強公園周邊
信義區,崇德街38巷內
士林區,美崙街190號附近、基河路底
士林區,忠誠路2段207巷內(運動公園周邊)
士林區,延平北路6段308號附近
士林區,永公路245巷34弄底6之6重劃區周邊
士林區,忠誠公園
士林區,三腳渡堤外百齡右岸河濱公園
士林區,至善路3段71巷
北投區,中央北路4段583巷內
文山區,指南路1段道南橋下(含指南路1段道南橋頭)
文山區,木新路3段至寶橋下沿線河堤一帶
文山區,木柵路1段1號至木柵路1段57號
文山區,新光路1段118巷到道南橋下涵洞
文山區,木柵路4段159巷14號至170弄口
文山區,興德路66巷往萬美國宅階梯處
文山區,萬芳醫院捷運站(興隆路3段111號)
文山區,辛亥捷運站(辛亥路4段128號)
文山區,基隆路四段與汀州路四段路口
文山區,汀洲路四段（師大分部）後面
文山區,羅斯福路6段401巷
文山區,景美捷運站1號出口
文山區,景行公園
內湖區,內湖路三段60巷50弄
內湖區,民權東路6段180巷
南港區,忠孝東路6段2號(後山埤捷運站)
南港區,南港路1段、興中路口(南興公園)
